season,round,race_date,circuit_id,driver_code,constructor_id,is_sprint_weekend,quali_position,track_n,grid,team,sprint,driver_form,track,champ,teammate,finish_position,status,classified,label,p_a1
2015,4,2015-04-19,bahrain,VET,ferrari,0,2,3,0.77880078,0.66386555,0.0,0.83038796,1.0,0.80882353,0.5,5,Finished,1,0,0.12952438
2015,4,2015-04-19,bahrain,ROS,mercedes,0,3,3,0.60653066,1.0,0.0,0.81873075,0.75562111,0.75,0.0,3,Finished,1,0,0.07147502
2015,4,2015-04-19,bahrain,RAI,ferrari,0,4,3,0.47236655,0.66386555,0.0,0.38940338,0.73205615,0.35294118,0.5,2,Finished,1,0,0.01581857
2015,4,2015-04-19,bahrain,BOT,williams,0,5,2,0.36787944,0.40336134,0.0,0.2899207,0.33519446,0.26470588,0.5,4,Finished,1,0,0.00460507
2015,4,2015-04-19,bahrain,MAS,williams,0,6,3,0.2865048,0.40336134,0.0,0.48462239,0.28363757,0.44117647,0.5,10,+1 Lap,1,0,0.00473974
2015,4,2015-04-19,bahrain,RIC,red_bull,0,7,3,0.22313016,0.1092437,0.0,0.26078221,0.39165487,0.16176471,0.5,6,Finished,1,0,0.00169265
2015,4,2015-04-19,bahrain,HUL,force_india,0,8,3,0.17377394,0.05882353,0.0,0.13320456,0.37138873,0.08823529,0.5,13,+1 Lap,1,0,0.00107242
2015,4,2015-04-19,bahrain,SAI,toro_rosso,0,9,0,0.13533528,0.10084034,0.0,0.19129583,0.5,0.08823529,0.5,19,Engine,0,0,0.00117784
2015,4,2015-04-19,bahrain,GRO,lotus_f1,0,10,3,0.10539922,0.05042017,0.0,0.1548674,0.58371019,0.08823529,0.5,7,Finished,1,0,0.0010127
2015,4,2015-04-19,bahrain,PER,force_india,0,11,3,0.082085,0.05882353,0.0,0.13883984,0.63493612,0.01470588,0.5,8,+1 Lap,1,0,0.00091376
2015,4,2015-04-19,bahrain,NAS,sauber,0,12,0,0.06392786,0.15966387,0.0,0.28620296,0.5,0.20588235,0.5,12,+1 Lap,1,0,0.00122131
2015,4,2015-04-19,bahrain,ERI,sauber,0,13,1,0.04978707,0.15966387,0.0,0.14612813,0.3,0.07352941,0.5,14,+1 Lap,1,0,0.00076946
2015,4,2015-04-19,bahrain,ALO,mclaren,0,14,3,0.03877421,0.0,0.0,0.05896439,0.33491829,0.0,0.5,11,+1 Lap,1,0,0.00051662
2015,4,2015-04-19,bahrain,VER,toro_rosso,0,15,0,0.03019738,0.10084034,0.0,0.10685455,0.5,0.08823529,0.5,18,Electrical,0,0,0.00074837
2015,4,2015-04-19,bahrain,MAL,lotus_f1,0,16,3,0.02351775,0.05042017,0.0,0.0,0.10779418,0.0,0.5,15,+1 Lap,1,0,0.00041429
2015,4,2015-04-19,bahrain,KVY,red_bull,0,17,1,0.01831564,0.1092437,0.0,0.07162675,0.37595932,0.02941176,0.5,9,+1 Lap,1,0,0.00060624
2015,4,2015-04-19,bahrain,STE,manor,0,18,0,0.01426423,0.0,0.0,0.03236034,0.5,0.0,0.5,16,+2 Laps,1,0,0.00052535
